Study,Link (Use DOI or Title if missing),DOI,Title,Year,Country,Continent,SequencingType,PublicationJournal,Disease,AlphaDirection,BetaSeparation,"KeyTaxa_Enriched ↑ (Taxa1, Taxa2, etc.)",KeyTaxa_Depleted ↓,Differential Abundance Test (try Ctrl F for these),TaxaExtractionSource (Should be Main Text unless there is nothing listed),Tags (skip),Contributor,Notes,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9
LiZhang2020,https://pubmed.ncbi.nlm.nih.gov/33312718/,10.1515/tnsci-2020-0117,Dysbiosis characteristics of gut microbiota in cerebral infarction patients,2020,China,Asia,16S,Translational Neuroscience,Stroke,No Difference,No,"Proteobacteria, Actinobacteria, Lactobacillus, Lactococcus, Escherichia, Shigella, Streptococcus, Collinsella, Dorea","Firmicutes, Bacteroidetes, Faecalibacterium, Subdoligranulum, Eubacterium rectale, Roseburia, Lachnoclostridium, Butyricicoccus",LEfSe (LDA),Main Text,,Emily Song,,,,,,,,,,
DongLin2021,https://doi.org/10.3389/fcimb.2021.723840,10.3389/fcimb.2021.723840,Gut Microbiota and Fecal Metabolites Associated With Neurocognitive Impairment in HIV-Infected Population,2021,China,Asia,16S,Frontiers in Cellular and Infection Microbiology,Cognitive Impairment,No Difference,No,"Klebsiella, Prevotellaceae_Ga6A1","Coprococcus_2, Treponema_2, Rikenellaceae_RC9",LEfSe (LDA),Supplementary File fallback (Top 5),confounding disease,Emily Song,taxa from Supp TableS4,,,,,,,,,
HuangWei2024,https://doi.org/10.4103/1673-5374.385846,10.4103/1673-5374.385846,Hemorrhagic transformation in patients with large-artery atherosclerotic stroke is associated with the gut microbiota and lipopolysaccharide,2024,China,Asia,16S,Neural Regeneration Research,Stroke,Decrease,Yes,"Streptococcus, Fusicatenibacter, Pectobacterium, Lactobacillus_salivarius, Klebsiella","Ruminococcaceae, Acidobacteriota, Faecalibacterium, Clostridiales",LEfSe (LDA),Main Text,gradient/subtypes,Emily Song,,,,,,,,,,
BorghiBorgo2017,https://doi.org/10.3390/ijms18020344,10.3390/ijms18020344,Rett Syndrome: A Focus on Gut Microbiota,2017,Italy,Europe,16S,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,Rett syndrome,No Difference,No,"Bacteroidaceae, Bacteroides, Clostridium",None,,Main Text,,Emily Song,referenced Figure 5 to find p values for taxa mentioned in txt,,,,,,,,,
FengCui2023,https://doi.org/10.1007/s40120-023-00477-6,10.1007/s40120-023-00477-6,The Alterations of Gut Microbiome and Lipid Metabolism in Patients with Spinal Muscular Atrophy,2023,China,Asia,16S,Neurology and Therapy,Spinal Muscular Atrophy (SMA),No Difference,No,"Gordonibacter, Ruminiclostridium, Enorma, Lawsonella,
Frisingicoccus, Anaerofilum ",None,,Main Text,,Emily Song,,,,,,,,,,
DangZhang2021,https://doi.org/10.1155/2021/1469339,10.1155/2021/1469339,Distinctive Gut Microbiota Alteration Is Associated with Poststroke Functional Recovery: Results from a Prospective Cohort Study,2021,China,Asia,16S,NEURAL PLASTICITY,Stroke,Increase,Yes,"Enterococcaceae, Lachnospiraceae, Enterobacteriaceae, Helicobacteraceae, Lachnoclostridium, Flavonifractor, Lactobacillus, Enterococcus, Enterobacter, Fusobacterium, Veillonella, Megamonas, and Escherichia","Neisseriaceae, Porphyromonadaceae, Flavobacteriaceae, Weeksellaceae, Cardiobacteriaceae, Pasteurellaceae, Blautia, Faecalibacterium, Roseburia, Fusicatenibacter, Prevotella, Ruminococcus, and Neisseria",LEfSe (LDA),Main Text,,Emily Song,LDA score> 3.5,,,,,,,,,
WangMa2023,https://doi.org/10.3389/fmicb.2023.1091167,10.3389/fmicb.2023.1091167,"Comparison of the effects of probiotics, rifaximin, and lactulose in the treatment of minimal hepatic encephalopathy and gut microbiota",2023,China,Asia,16S,FRONTIERS IN MICROBIOLOGY,Encephalopathy,No Difference,Yes,"Pediococcus, Selenomonas, Anaerosinus, Lactobacillus, Pseudomonas, Bifidobacterium",Barnesiella,DESeq,Main Text,intervention,Lynn Hee Fetcinko,,,,,,,,,,
TonomuraHattori2025,https://doi.org/10.1253/circj.cj-24-0872,10.1253/circj.CJ-24-0872,Oral Pathobiont Streptococcus Anginosus Is Enriched in the Gut of Stroke Patients and Predicts 2-Year Cardiovascular Outcome,2025,Japan,Asia,16S,CIRCULATION JOURNAL,Stroke,Decrease,Not reported,Streptococcus,None,ANCOM,Main Text,,Lynn Hee Fetcinko,,,,,,,,,,
GuoNiLi2022,https://www.frontiersin.org/articles/10.3389/fcimb.2022.827129/full,10.3389/fcimb.2022.827129,Integrated Traditional Chinese Medicine Improves Functional Outcome in Acute Ischemic Stroke: From Clinic to Mechanism Exploration With Gut Microbiota,2022,China,Asia,16S,Frontiers in Cellular and Infection Microbiology,Stroke,,Yes,"Coprococcus (p < 0.05, ITCM ↑ vs WM ↓, positively correlated with NIHSS and fire-heat score reduction); Dorea (p < 0.05, ITCM ↑ vs WM ↓, positively correlated with clinical improvement); Blautia, Streptococcus, Bifidobacterium, Lactobacillus (SCFA producers upregulated after ITCM in both enterotypes)","Clostridium (p < 0.05, negatively correlated with NIHSS improvement); Parabacteroides (p < 0.05, negatively correlated with fire-heat score improvement); Phascolarctobacterium (p < 0.05, negatively correlated with clinical recovery); Bacteroides (p < 0.05, LPS producer reduced after ITCM vs increased after WM).",,Main Text,intervention,Emily Song,,,,,,,,,,
MaXie2024,https://doi.org/10.1080/1028415X.2023.2242121,10.1080/1028415X.2023.2242121,The gut microbial signatures of patients with lacunar cerebral infarction,2024,China,Asia,16S,NUTRITIONAL NEUROSCIENCE,Stroke,No Difference,Yes,"Streptococcus, Lactobacillus",Agathobacter,LEfSe (LDA),Main Text,,Lynn Hee Fetcinko,,,,,,,,,,
CaoLv2025,https://doi.org/10.2147/ndt.s513364,10.2147/NDT.S513364,Altered Gut Microbiota and Plasma Metabolome Profiles Characterize Depression Individuals with Ischemic Stroke: A Comparative Analysis,2025,China,Asia,16S,NEUROPSYCHIATRIC DISEASE AND TREATMENT,Stroke,No Difference,No,"Enterobacteriaceae, Alloprevotella, ","Acidaminococcaceae, Roseburia, Fusicatenibacter",LEfSe (LDA),Main Text,confounding disease,Lynn Hee Fetcinko,,,,,,,,,,
CuiXu2023,https://doi.org/10.1111/cns.14271,10.1111/cns.14271,Changes of gut microbiota in patients at different phases of stroke,2023,China,Asia,16S,CNS NEUROSCIENCE & THERAPEUTICS,Stroke,No Difference,No,Lactobacillaceae,"Butyricimona, Peptostreptococaceae, Romboutsia ",LEfSe (LDA),Main Text,gradient/subtypes,Lynn Hee Fetcinko,,,,,,,,,,
WangBing2024,https://doi.org/10.1128/spectrum.01178-24,10.1128/spectrum.01178-24,Gut microbiota dysbiosis and neurological function recovery after intracerebral hemorrhage: an analysis of clinical samples,2024,China,Asia,16S,MICROBIOLOGY SPECTRUM,Stroke,,Yes,None,None,LEfSe (LDA),Main Text,,Lynn Hee Fetcinko,"The study does not compare the combined ICH group to the control for alpha diversity and taxa enrichment/depletion. Instead, they compare specific time points to each other and to the control.",,,,,,,,,
YongLee2023,https://doi.org/10.1038/s41598-023-27586-4,10.1038/s41598-023-27586-4,Altered gut microbiota in individuals with episodic and chronic migraine,2023,South Korea,Asia,16S,SCIENTIFIC REPORTS,Other,No Difference,No,"Tissierellales, Tissierellia, Peptoniphilaceae",None,Other,Main Text,,Lynn Hee Fetcinko,,,,,,,,,,
YanZheng2025,https://doi.org/10.1007/s11011-025-01549-2,10.1007/s11011-025-01549-2,Altered gut microbiome and serum metabolome profiles associated with essential tremor,2025,China,Asia,16S,METABOLIC BRAIN DISEASE,Other,No Difference,Yes,Acholeplasmatales_bacterium ,"Prevotella_copri, Phocaeicola_vulgatus, Bacteroides_ovatus, Phocaeicola_dorei, Bacteroides_fragilis, Bacteroides_xylanisolvens, Bacteroides_sp._4_3_47FAA, Bacteroides_sp._3_1_40A, and Phocaeicola_coprocola ",LEfSe (LDA),Main Text,,Lynn Hee Fetcinko,,,,,,,,,,
LouOuyang2024,https://doi.org/10.3389/fcimb.2023.1257317,10.3389/fcimb.2023.1257317,Gut microbiota as predictors of the occurrence of high on-treatment platelet reactivity in acute ischemic stroke patients,2024,China,Asia,16S,FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY,Stroke,No Difference,Yes," Parabacteroides, Streptococcus","Blautia, Lachnoclostridium",LEfSe (LDA),Main Text,intervention,Lynn Hee Fetcinko,,,,,,,,,,
LaskeMueller2022,https://doi.org/10.3389/fnins.2022.792996,10.3389/fnins.2022.792996,Signature of Alzheimer's Disease in Intestinal Microbiome: Results From the AlzBiom Study,2022,Germany,Europe,Shotgun,FRONTIERS IN NEUROSCIENCE,Alzheimer’s disease (AD),Not Reported,Not reported,None,None,Other,Main Text,,Lynn Hee Fetcinko,This paper does not explicitly state alpha or beta diversity and does not list significance for taxa,,,,,,,,,
LiHan2022,https://doi.org/10.3389/fmolb.2022.865788,10.3389/fmolb.2022.865788,Intestinal flora induces depression by mediating the dysregulation of cerebral cortex gene expression and regulating the metabolism of stroke patients,2022,China,Asia,16S,FRONTIERS IN MOLECULAR BIOSCIENCES,Stroke,,Yes,g_Erysipelotrichaceae UCG-003,None,LEfSe (LDA),Main Text,confounding disease,Lynn Hee Fetcinko,,,,,,,,,,
CaoHuang2025,https://doi.org/10.1177/17562864251319870,10.1177/17562864251319870,Crosstalk between the gut microbiota and brain network topology in poststroke aphasia patients: perspectives from neuroimaging findings,2025,China,Asia,16S,THERAPEUTIC ADVANCES IN NEUROLOGICAL DISORDERS,Stroke,Decrease,Yes,"g_Bifidobacterium, p_Actinobacteria, c_Actinobacteria",None,LEfSe (LDA),Main Text,gradient/subtypes,Lynn Hee Fetcinko,,,,,,,,,,
KhedrAli2021,https://doi.org/10.1186/s41983-021-00407-z,10.1186/s41983-021-00407-z,Gut microbiota in Parkinson's disease patients: hospital-based study,2021,Egypt,Africa,16S,EGYPTIAN JOURNAL OF NEUROLOGY PSYCHIATRY AND NEUROSURGERY,Parkinson’s disease (PD),Not Reported,Not reported,"Clostridium cluster IV, Akkermansia, Bifidobacterium, and lactic acid bacteria", Firmicutes,Other,Main Text,,Lynn Hee Fetcinko,,,,,,,,,,
XiangLou2020,https://doi.org/10.3389/fcimb.2020.587284,10.3389/fcimb.2020.587284,Gut Microbiotic Features Aiding the Diagnosis of Acute Ischemic Stroke,2020,China,Asia,16S,FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY,Stroke,,,"Actinobacteria, Verrucomicrobia, Synergistetes, Proteobacteria",Firmicutes,LEfSe (LDA),Main Text,gradient/subtypes,Lynn Hee Fetcinko,Did not test alpha and beta diversity between subgroups as a whole and healthy controls,,,,,,,,,
LiuMen2023,https://doi.org/10.1186/s40168-023-01638-3,10.1186/s40168-023-01638-3,Gut microbes exacerbate systemic inflammation and behavior disorders in neurologic disease CADASIL,2023,China,Asia,Both,MICROBIOME,Other,No Difference,No,"Porphyromonas, Akkermansia, Eubacterium siraeum, Akkermansia muciniphila, Fusobacterium varium, Megasphaera elsdenii, Clostridium aldenense, Bacteroides sp. OM05-12, Streptococcus sp. A12","Sutterella, Roseburia faecis, Eubacterium eligens, Sutterella parvirubra",Linear (e.g. MaAsLin),Main Text,,Lynn Hee Fetcinko,,,,,,,,,,
TotzeckRamakrishnan2021,https://doi.org/10.1177/17562864211035657,10.1177/17562864211035657,Gut bacterial microbiota in patients with myasthenia gravis: results from the MYBIOM study,2021,Gernany,Europe,16S,THERAPEUTIC ADVANCES IN NEUROLOGICAL DISORDERS,Other,Decrease,Not reported,None,None,Linear (e.g. MaAsLin),Main Text,,Lynn Hee Fetcinko,Only tested differentially abundant genera between disease subtypes,,,,,,,,,
ChenWu2025,https://doi.org/10.3389/fmicb.2025.1580231,10.3389/fmicb.2025.1580231,Alterations in gut microbiota and metabolomic profiles in acute stroke: insights into brain-gut axis dysregulation,2025,China,Asia,16S,FRONTIERS IN MICROBIOLOGY,Stroke,Increase,Yes,"Firmicutes, Barnesiella, Faecalibacterium, Agathobacter","Bacteroides, Escherichia-Shigella",LEfSe (LDA),Main Text,,Lynn Hee Fetcinko,,,,,,,,,,
LiuFan2023,https://doi.org/10.1016/j.msard.2023.104619,10.1016/j.msard.2023.104619,Gut microbiota dysbiosis associated with different types of demyelinating optic neuritis in patients,2023,China,Asia,16S,MULTIPLE SCLEROSIS AND RELATED DISORDERS,Other,Decrease,Yes,"Blautia, Escherichia-Shigella, Ruminococcus","Bacteroides, Faecalibacterium, Roseburia, Parabacteroides, Romboutsia, Lachnospiraceae ND3007 group, Alistipes",Other,Main Text,,Isabella Huang,,,,,,,,,,
LuoChang2024,https://doi.org/10.1016/j.heliyon.2024.e26651,10.1016/j.heliyon.2024.e26651,"Unveiling the negative association of Faecalibacterium prausnitzii with ischemic stroke severity, impaired prognosis and pro-inflammatory markers",2024,China,Asia,16S,HELIYON,Stroke,No Difference,Yes,"All AIS patients combined: Bacteroides, Enterococcus faecium; Non-minor stroke: Parabacteroids, Akkermansia, Christensenellaceae_R-7_group, Bacteroides dorei, Akkermansia muciniphila, Bacteroides caccae; 3-month poor prognosis: Enterococcus","All AIS patients combined: Clostridia, Lachnospirales, Lachnospiraceae, Ruminococcaceae, Faecalibacterium, Faecalibacterium prausnitzii; Non-minor stroke: Faecalibacterium, Blautia, Agathobacter, Subdoligranulum, Faecalibacterium prausnitzii; 3-month poor prognosis: Faecalibacterium, Blautia",LEfSe (LDA),Main Text,,Isabella Huang,,,,,,,,,,
HeLi2024,https://doi.org/10.3389/fmicb.2024.1432958,10.3389/fmicb.2024.1432958,The impact of dysbiosis in oropharyngeal and gut microbiota on systemic inflammatory response and short-term prognosis in acute ischemic stroke with preceding infection,2024,China,Asia,16S,FRONTIERS IN MICROBIOLOGY,Stroke,Differing B/w Subgroups,Differing B/w Subgroups,"Both AIS and AIS-PI vs. HC (gut): Firmicutes; Both AIS and AIS-PI vs. HC (oropharyngeal): Bacteroidetes; AIS-PI (gut): Megamonas, Lactobacillus mucosae, Megasphaera, Megasphaera elsdenii, Dialister, Micrococcales, Micrococcaceae, Rothia, Streptococcaceae, Streptococcus, Streptococcus mutans, Ruminococcaceae UCG 004, Sellimonas, Sellimonas intestinalis, Eggerthellaceae, Eggerthella, Eggerthella sp., Paeniclostridium, Mogibacterium; AIS (gut): Campylobacter hominis ATCC BAA, Bacteroides coprocola; AIS-PI (oropharyngeal): Streptococcaceae, Corynebacteriaceae, Rothia, Deinococcus Thermus, Deinococci, Thermales, Thermaceae, Thermus, Thermus scotoductus SA, uncultured Veillonella sp., Mycoplasma","Both AIS and AIS-PI vs. HC (gut): Bacteroidetes, Eisenbergiella, bacterium NLAE, Fusicatenibacter, Ruminococcaceae, Faecalibacterium, Bacteroides massiliensis; AIS (oropharyngeal): Proteobacteria; AIS-PI (oropharyngeal): Leptotrichiaceae, Leptotrichia, uncultured_Leptotrichia_sp., Oribacterium sinus",LEfSe (LDA),Main Text,confounding disease,Isabella Huang,,,,,,,,,,
YukawaMutoKamiya2022,https://doi.org/10.1002/hep4.1954,10.1002/hep4.1954,Distinct responsiveness to rifaximin in patients with hepatic encephalopathy depends on functional gut microbial species,2022,Japan,Asia,Both,HEPATOLOGY COMMUNICATIONS,Encephalopathy,Decrease,Yes,"Streptococcus, Streptococcus salivarius, Lactobacillus, Bifidobacterium, Veillonella",None,LEfSe (LDA),Main Text,intervention,Isabella Huang,,,,,,,,,,
LiChen2025,https://doi.org/10.1128/msystems.01492-24,10.1128/msystems.01492-24,Hypercoagulable state and gut microbiota dysbiosis as predictors of poor functional outcomes in acute ischemic stroke patients,2025,China,Asia,16S,MSYSTEMS,Stroke,Increase,Yes,"Parabacteroides, Oscillospira, Morganella, Megasphaera, Alistipes, Dialister","Prevotella, Roseburia, Faecalibacterium, Blautia, Coprococcus",LEfSe (LDA),Main Text,,Isabella Huang,,,,,,,,,,
WuJiang2025,https://doi.org/10.2147/NDT.S507156,10.2147/NDT.S507156,Potential Inflammatory Biomarkers and Differential Gut Microbiota in Cognitive Impairment After Ischemic Stroke,2025,China,Asia,16S,NEUROPSYCHIATRIC DISEASE AND TREATMENT,Stroke,Not Reported,Not reported,None,None,Other,Main Text,gradient/subtypes,Isabella Huang,"Only reported microbial differences between post-stroke patients without cognitive impairment (PSWCI) and PSCI patients, no comparisons to HC group",,,,,,,,,
HuaFeng2022,https://doi.org/10.1097/MD.0000000000029935,10.1097/MD.0000000000029935,Changes in intestinal microbiota of HBV-associated liver cirrhosis with/without hepatic encephalopathy,2022,China,Asia,16S,MEDICINE,Encephalopathy,Not Reported,Not reported,"Pasteurellaceae, Haemophilus, Selenomonas, Veillonella, Pasteurellales, Ruminococcus torques, Veillonella dispar, Veillonella parvula","Lachnospiraceae, Adlercreutzia, Blautia, Coprococcus, Dorea, Turicibacterales, Blautia producta, Clostridium clostridioforme, Collinsella stercoris, Enterococcus casseliflavus, Anaerofustis, Finegoldia",Other,Main Text,confounding disease,Isabella Huang,"Also made comparisons of relative abundance between HC and HBV-LC as a group, but I only listed comparisons between HC and HE subgroup",,,,,,,,,
ZhangWang2022,https://doi.org/10.3389/fnmol.2022.922399,10.3389/fnmol.2022.922399,"Combination effect between gut microbiota and traditional potentially modifiable risk factors for first-ever ischemic stroke in Tujia, Miao and Han populations in China",2022,China,Asia,16S,FRONTIERS IN MOLECULAR NEUROSCIENCE,Stroke,Not Reported,Yes,"All IS combined: Bacilli, Gammaproteobacteria, Lactobacillaceae, Streptococcaceae, Enterobacteriaceae; Tujia only: Bacilli, Gammaproteobacteria, Actinobacteria, Rubrobacteria, Coriobacteria, Lactobacillaceae, Streptococcaceae, Enterobacteriaceae; Miao only: Bacilli, Lactobacillaceae, Streptococcaceae; Han only: Bacilli, Gammaproteobacteria, Enterococcaceae, Lactobacillaceae, Enterococcaceae, Enterobacteriaceae","All IS combined: Clostridia, Lachnospiraceae, Ruminococcaceae; Tujia only: Clostridia, Ruminococcaceae; Han only: Clostridia, Ruminococcaceae",LEfSe (LDA),Main Text,,Isabella Huang,,,,,,,,,,
ZhaLiu2025,https://doi.org/10.1016/j.cmet.2024.10.006,10.1016/j.cmet.2024.10.006,Microbiota-derived lysophosphatidylcholine alleviates Alzheimer's disease pathology via suppressing ferroptosis.,2025,China,Asia,Shotgun,Cell metabolism,Alzheimer’s disease (AD),Not Reported,Not reported,Firmicutes,"Bacteroidetes, Bacteroides, Bacteroides ovatus",LEfSe (LDA),Main Text,,Isabella Huang,,,,,,,,,,
FerreiroChoi2023,https://doi.org/10.1126/scitranslmed.abo2984,10.1126/scitranslmed.abo2984,Gut microbiome composition may be an indicator of preclinical Alzheimer's disease.,2023,United States,North America,Shotgun,Science translational medicine,Alzheimer’s disease (AD),No Difference,Yes,"Dorea formicigenerans, Oscillibacter sp. 57_20, Faecalibacterium prausnitzii, Coprococcus catus, Anaerostipes hadrus, Ruminococcus lactaris, Methanobrevibacter smithii",Methanosphaera stadtmanae,Linear (e.g. MaAsLin),Main Text,,Isabella Huang,,,,,,,,,,
VogtKerby2017,https://doi.org/10.1038/s41598-017-13601-y,10.1038/s41598-017-13601-y,Gut microbiome alterations in Alzheimer's disease.,2017,United States,North America,16S,Scientific reports,"Alzheimer’s disease (AD), Dementia",Decrease,Yes,"Bacteroidetes, Gemellaceae, Blautia, Phascolarctobacterium, Gemella, Bacteroidaceae, Rikenellaceae, Bacteroides, Alistipes, Bilophila","Firmicutes, Actinobacteria, Ruminococcaceae, Turicibacteraceae, Peptostreptococcaceae, Clostridiaceae, Mogibacteriaceae, SMB53 (family Clostridiaceae), Dialister, Clostridium, Turicibacter, cc115 (family Erysipelotrichaceae), Bifidobacteriaceae, Bifidobacterium, Adlercreutzia",Other,Main Text,,Isabella Huang,,,,,,,,,,
GrabruckerMarizzoni2023,https://doi.org/10.1093/brain/awad303,10.1093/brain/awad303,Microbiota from Alzheimer's patients induce deficits in cognition and hippocampal neurogenesis.,2023,Ireland,Europe,16S,Brain : a journal of neurology,Alzheimer’s disease (AD),No Difference,No,"Bacteroidetes, Desulfovibrio","Firmicutes, Verruocomicrobiota, Clostridium sensu stricto 1, Coprococcus",Other,Main Text,,Isabella Huang,,,,,,,,,,
YoonGerdes2025,https://doi.org/10.1073/pnas.2419689122,10.1073/pnas.2419689122,Multiple sclerosis and gut microbiota: Lachnospiraceae from the ileum of MS twins trigger MS-like disease in germfree transgenic mice-An unbiased functional study.,2025,Germany,Europe,16S,Proceedings of the National Academy of Sciences of the United States of America,Multiple sclerosis (MS),No Difference,No,"Alistipes ihumii, Copromonas, Acutalibacter, Anaerotruncus massiliensis, Eisenbergiella tayi, Anaerotruncus colihominis","Dialister succinatiphilus, Prevotella buccae",Linear (e.g. MaAsLin),Main Text,,Isabella Huang,,,,,,,,,,
ZhuangShen2018,https://doi.org/10.3233/JAD-180176,10.3233/JAD-180176,Gut Microbiota is Altered in Patients with Alzheimer’s Disease,2018,China,Asia,16S,Journal of Alzheimer’s Disease,"Alzheimer’s disease (AD), Amyotrophic lateral sclerosis (ALS), Parkinson’s disease (PD)",Not Reported,Not reported,Actinobacteria (p<0.05); Bacilli (p<0.05); Lactobacillales (p<0.05); Ruminococcaceae (p<0.05); Enterococcaceae (p<0.05); Lactobacillaceae (p<0.05); Subdoligranulum (p<0.05).,Bacteroidetes (p=0.039); Bacteroidia (p<0.05); Negativicutes (p<0.05); Bacteroidales (p<0.05); Selenomonadales (p<0.05); Lachnospiraceae (p<0.05); Bacteroidaceae (p<0.05); Veillonellaceae (p<0.05); Lachnoclostridium (p<0.05),,Main Text,,Emily Song,,,,,,,,,,
,https://doi.org/10.1016/j.cell.2022.08.021,10.1016/j.cell.2022.08.021,Gut microbiome of multiple sclerosis patients and paired household healthy controls reveal associations with disease risk and course.,2022,United States,North America,Both,Cell,Multiple sclerosis (MS),No Difference,Yes,"Akkermansia muciniphila, Parabacteroides merdae CAG:48, Ruminococcus torques, Ruthenibacterium lactatiformans, Hungatella hathewayi, Eisenbergiella tayi",Faecalibacterium prausnitzii,Linear (e.g. MaAsLin),Main Text,,Isabella Huang,"Mention decrease in Blautia species in main text, but only specifically named/identified in figures",,,,,,,,,
ScheperjansAho2015,https://doi.org/10.1002/mds.26069,10.1002/mds.26069,Gut microbiota are related to Parkinson's disease and clinical phenotype.,2015,Finland,Europe,16S,Movement disorders : official journal of the Movement Disorder Society,Parkinson’s disease (PD),No Difference,Yes,"Lactobacillaceae, Verrucomicrobiaceae, Bradyrhizobiaceae","Prevotellaceae, Clostridiales Incertae Sedis IV",Linear (e.g. MaAsLin),Main Text,,Isabella Huang,,,,,,,,,,
WangWang2025,https://doi.org/10.1186/s40168-024-02001-w,10.1186/s40168-024-02001-w,Akkermansia muciniphila and its metabolite propionic acid maintains neuronal mitochondrial division and autophagy homeostasis during Alzheimer's disease pathologic process via GPR41 and GPR43.,2025,China,Asia,16S,Microbiome,Alzheimer’s disease (AD),Decrease,Yes,Proteobacteria,Akkermansia muciniphila,Other,Main Text,,Isabella Huang,,,,,,,,,,
BlacherBashiardes2019,https://doi.org/10.1038/s41586-019-1443-5,10.1038/s41586-019-1443-5,Potential roles of gut microbiome and metabolites in modulating ALS in mice.,2019,Israel,Middle East,Shotgun,Nature,Amyotrophic lateral sclerosis (ALS),Not Reported,Yes,None,None,Other,Main Text,,Isabella Huang,"Identified ""five bacterial species reaching near-significance for the ALS microbiome (q < 0.1),"" but unsure from supp figure which ones they are ",,,,,,,,,
UedaShinkai2021,https://doi.org/10.1016/j.xcrm.2021.100398,10.1016/j.xcrm.2021.100398,Identification of Faecalibacterium prausnitzii strains for gut microbiome-based intervention in Alzheimer's-type dementia.,2021,Japan,Asia,Both,Cell reports. Medicine,"Alzheimer’s disease (AD), Dementia",No Difference,Yes,MCI: Prevotella,"MCI: Faecalibacterium, Faecalibacterium prausnitzii, Ruminococcaceae genus unclassified, Anaerostipes, Ruminococcus_C, CAG-41; AD: Eubacterium_I",Other,Main Text,gradient/subtypes,Isabella Huang,,,,,,,,,,
HillBurnsDebelius2017,https://doi.org/10.1002/mds.26942,10.1002/mds.26942,Parkinson's disease and Parkinson's disease medications have distinct signatures of the gut microbiome.,2017,United States,North America,16S,Movement disorders : official journal of the Movement Disorder Society,Parkinson’s disease (PD),Not Reported,Yes,"Akkermansia, Lactobacillus, Bifidobacterium",Lachnospiraceae,"ANCOM, Other",Main Text,,Isabella Huang,,,,,,,,,,
JiaKe2025,https://doi.org/10.1038/s41380-025-02973-7,10.1038/s41380-025-02973-7,Metagenomic analysis characterizes stage-specific gut microbiota in Alzheimer's disease.,2025,China,Asia,Shotgun,Molecular psychiatry,Alzheimer’s disease (AD),No Difference,No,"AD: Alistipes, Bacteroides, Prevotella spp.; MCI: Bacteroides",AD: Streptococcus spp.; MCI: Streptococcus spp.,Linear (e.g. MaAsLin),Main Text,gradient/subtypes,Isabella Huang,Included comparisons from external PD fecal metagenomic dataset,,,,,,,,,
HuangChau2023,https://pubmed.ncbi.nlm.nih.gov/37130861/,10.1038/s41467-023-38248-4,"Gut microbiome dysbiosis across early Parkinson's disease, REM sleep behavior disorder and their first-degree relatives.",2023,China,Asia,16S,Nature communications,Parkinson’s disease (PD),No Difference,Yes,"Clostridia_UCG-014, Akkermansia, Collinsella","Roseburia, Faecalibacterium, Butyricicoccus",Linear (e.g. MaAsLin),Figure/Table fallback (Top 5),confounding disease,Lucas Patel,,,,,,,,,,
LiHe2019,https://pubmed.ncbi.nlm.nih.gov/31434623/,10.1016/j.jalz.2019.07.002,Mild cognitive impairment has similar alterations as Alzheimer's disease in gut microbiota.,2019,China,Asia,16S,Alzheimer's & dementia : the journal of the Alzheimer's Association,"Alzheimer’s disease (AD), Dementia",No Difference,Yes,"Lactobacillus, Akkermansia, Dorea, Bifidobacterium, Streptococcus, Acinetobacter, and Blautia","Parabacteroides, Alistipes, Bacteroides, Alloprevotella, Haemophilus, Paraprevotella, Succinivibrio, Sutterella, Prevotella, Barnesiella, and Butyricimonas",LEfSe (LDA),Main Text,gradient/subtypes,Lucas Patel,,,,,,,,,,
CekanaviciuteYoo2017,https://pubmed.ncbi.nlm.nih.gov/28893978/,10.1073/pnas.1711235114,Gut bacteria from multiple sclerosis patients modulate human T cells and exacerbate symptoms in mouse models.,2017,United States,North America,16S,Proceedings of the National Academy of Sciences of the United States of America,Multiple sclerosis (MS),No Difference,No,"Acinetobacter, Varibaculum, Corynebacterium, Bifidobacterium, Megamonas, Megasphaera, Klebsiella, Actinomyces, Mogibacterium, Akkermansia, SMB53, Bulleidia, ph2","[Prevotella], Serratia, Bacillus, Acidaminococcus, Clostridium, Aquamonas, Parabacteroides, Phascolarctobacterium",DESeq,Supplementary File fallback (Top 5),,Lucas Patel,,,,,,,,,,
SchwerdtfegerMontini2025,https://pubmed.ncbi.nlm.nih.gov/40185103/,10.1016/j.xcrm.2025.102055,Gut microbiota and metabolites are linked to disease progression in multiple sclerosis.,2025,United States,North America,16S,Cell reports. Medicine,Multiple sclerosis (MS),No Difference,No,"Bacteroides, Alistipes, Bacteroides","Streptococcus, Eubacterium_hallii_group, Butyricicoccus, uncultured (Eggerthellaceae)",Linear (e.g. MaAsLin),Figure/Table fallback (Top 5),gradient/subtypes,Lucas Patel,not really a proper control group here,,,,,,,,,
